SampleID	Stemness	EXTENDScores	Phase	Senescence	ClusterNo	ClusterMean	EXTENDclass
HN26_P25_F05_S161_comb	0.750393647	0.447962318	G2_M	0.275998382849836	2	0.532642676004338	High
HN26_P25_F10_S166_comb	0.574786712	0.432435404	NonCycling	0.324201281119746	2	0.532642676004338	High
HN26_P25_G03_S171_comb	0.595635401	0.352573042	NonCycling	0.280271130336186	1	0.27526248594617	Low
HN26_P25_G05_S173_comb	0.556866757	0.296146068	NonCycling	0.269932971106619	1	0.27526248594617	Low
HN26_P25_G08_S176_comb	0.555432444	0.605830625	NonCycling	0.337033934161631	2	0.532642676004338	High
HN26_P25_H01_S181_comb	0.785182233	0.734807904	G1_S	0.299287506510086	2	0.532642676004338	High
HN26_P25_H05_S185_comb	0.62947666	0.200381642	G2_M	0.365650618128561	1	0.27526248594617	Low
HN26_P25_H06_S186_comb	0.602888212	0.316208432	NonCycling	0.138169126731813	1	0.27526248594617	Low
HN26_P25_H09_S189_comb	0.548814501	0.222531463	NonCycling	0.406071786610151	1	0.27526248594617	Low
HN26_P26_A10_S298_comb	0.631457865	0.037985371	NonCycling	0.333938874002844	1	0.27526248594617	Low
HN26_P26_A12_S300_comb	0.624347043	0.464618772	NonCycling	0.230289812063738	2	0.532642676004338	High
HN26_P26_B01_S301_comb	0.657119738	0.455101123	NonCycling	0.155792974404763	2	0.532642676004338	High
HN26_P26_B02_S302_comb	0.711330468	0.528144578	G2_M	0.284977307250511	2	0.532642676004338	High
HN26_P26_B07_S307_comb	0.611194141	0.349421892	NonCycling	0.431540317630898	1	0.27526248594617	Low
HN26_P26_B08_S308_comb	0.595140182	0.19075188	NonCycling	0.333467821746245	1	0.27526248594617	Low
HN26_P26_B09_S309_comb	0.599519957	0.463032099	NonCycling	0.272754078251529	2	0.532642676004338	High
HN26_P26_B12_S312_comb	0.558020702	0.489671298	NonCycling	0.407247403451421	2	0.532642676004338	High
HN26_P26_C05_S317_comb	0.536721547	0.253019073	NonCycling	0.347177551491855	1	0.27526248594617	Low
HN26_P26_D07_S331_comb	0.718637039	0.40574975	G2_M	0.376365320301232	2	0.532642676004338	High
HN26_P26_D12_S336_comb	0.509708981	0.393044351	NonCycling	0.36553019228717	1	0.27526248594617	Low
HN26_P26_E08_S344_comb	0.614455409	0.324335106	NonCycling	0.344006666105408	1	0.27526248594617	Low
HN26_P26_E10_S346_comb	0.547287898	0.153375348	NonCycling	0.286361212445661	1	0.27526248594617	Low
HN26_P26_F02_S350_comb	0.545498022	0.324918508	NonCycling	0.292274353317212	1	0.27526248594617	Low
HN26_P26_F04_S352_comb	0.638384397	0.477637743	NonCycling	0.295123381818724	2	0.532642676004338	High
HN26_P26_F06_S354_comb	0.683892153	0.420975378	NonCycling	0.0449315376408651	2	0.532642676004338	High
HN26_P26_G04_S364_comb	0.551408274	0.203175546	NonCycling	0.38897659099591	1	0.27526248594617	Low
HN26_P26_G09_S369_comb	0.536695906	0.294381258	NonCycling	0.350628506185523	1	0.27526248594617	Low
HN26_P26_H05_S377_comb	0.683063295	0.433233377	NonCycling	0.294246392270093	2	0.532642676004338	High
HN26_P26_H09_S381_comb	0.532793053	0.355676615	NonCycling	0.359690988965804	1	0.27526248594617	Low
