SampleID	EXTENDScores	Samples	Tissues	SenescenceScores	EXTENDclass
TCCSUP_URINARY_TRACT	0.582	TCCSUP	UrinaryTract	1.235	High
TE1_OESOPHAGUS	0.436	TE1	Oesophagus	1.138	Low
TE10_OESOPHAGUS	0.548	TE10	Oesophagus	1.211	High
TE11_OESOPHAGUS	0.567	TE11	Oesophagus	1.288	High
TE125T_FIBROBLAST	0.151	TE125T	Fibroblast	1.384	Low
TE14_OESOPHAGUS	0.479	TE14	Oesophagus	1.185	Low
TE15_OESOPHAGUS	0.716	TE15	Oesophagus	1.190	High
TE159T_FIBROBLAST	0.185	TE159T	Fibroblast	1.452	Low
TE4_OESOPHAGUS	0.523	TE4	Oesophagus	1.188	Low
TE441T_SOFT_TISSUE	0.567	TE441T	SoftTissue	1.024	High
TE5_OESOPHAGUS	0.499	TE5	Oesophagus	1.149	Low
TE6_OESOPHAGUS	0.569	TE6	Oesophagus	1.072	High
TE617T_SOFT_TISSUE	0.635	TE617T	SoftTissue	0.939	High
TE8_OESOPHAGUS	0.421	TE8	Oesophagus	1.190	Low
TE9_OESOPHAGUS	0.316	TE9	Oesophagus	1.085	Low
TEN_ENDOMETRIUM	0.574	TEN	Endometrium	0.976	High
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.772	TF1	Haematpoetic&Lymphoid	0.879	High
TGBC11TKB_STOMACH	0.450	TGBC11TKB	Stomach	1.142	Low
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.704	THP1	Haematpoetic&Lymphoid	0.975	High
TIG3TD_FIBROBLAST	0.601	TIG3TD	Fibroblast	1.280	High
TM31_CENTRAL_NERVOUS_SYSTEM	0.347	TM31	CNS	1.216	Low
TM87_SOFT_TISSUE	0.509	TM87	SoftTissue	1.050	Low
TO175T_FIBROBLAST	0.220	TO175T	Fibroblast	1.349	Low
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.935	TOLEDO	Haematpoetic&Lymphoid	0.762	High
TOV112D_OVARY	0.655	TOV112D	Ovary	0.819	High
TOV21G_OVARY	0.582	TOV21G	Ovary	1.121	High
TT_OESOPHAGUS	0.431	TT	Oesophagus	0.845	Low
TT_THYROID	0.592	TT	Thyroid	0.881	High
TT2609C02_THYROID	0.521	TT2609C02	Thyroid	1.230	Low
TTC1240_SOFT_TISSUE	0.663	TTC1240	SoftTissue	0.864	High
TTC549_SOFT_TISSUE	0.625	TTC549	SoftTissue	0.918	High
TTC642_SOFT_TISSUE	0.585	TTC642	SoftTissue	0.912	High
TTC709_SOFT_TISSUE	0.646	TTC709	SoftTissue	0.927	High
TUHR10TKB_KIDNEY	0.499	TUHR10TKB	Kidney	1.282	Low
TUHR14TKB_KIDNEY	0.343	TUHR14TKB	Kidney	1.144	Low
TUHR4TKB_KIDNEY	0.511	TUHR4TKB	Kidney	1.251	Low
TYKNU_OVARY	0.510	TYKNU	Ovary	1.073	Low
U118MG_CENTRAL_NERVOUS_SYSTEM	0.425	U118MG	CNS	1.272	Low
U178_CENTRAL_NERVOUS_SYSTEM	0.436	U178	CNS	1.217	Low
U251MG_CENTRAL_NERVOUS_SYSTEM	0.323	U251MG	CNS	1.061	Low
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.637	U266B1	Haematpoetic&Lymphoid	1.063	High
U2OS_BONE	0.377	U2OS	Bone	1.035	Low
U343_CENTRAL_NERVOUS_SYSTEM	0.359	U343	CNS	1.244	Low
U87MG_CENTRAL_NERVOUS_SYSTEM	0.451	U87MG	CNS	1.368	Low
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.513	U937	Haematpoetic&Lymphoid	0.892	Low
UACC257_SKIN	0.623	UACC257	Skin	0.950	High
UACC62_SKIN	0.517	UACC62	Skin	1.022	Low
UACC812_BREAST	0.647	UACC812	Breast	0.943	High
UACC893_BREAST	0.520	UACC893	Breast	0.843	Low
UBLC1_URINARY_TRACT	0.311	UBLC1	UrinaryTract	1.260	Low
UMUC1_URINARY_TRACT	0.500	UMUC1	UrinaryTract	1.280	Low
UMUC3_URINARY_TRACT	0.684	UMUC3	UrinaryTract	1.176	High
UO31_KIDNEY	0.499	UO31	Kidney	1.272	Low
UOK101_KIDNEY	0.524	UOK101	Kidney	1.124	Low
VCAP_PROSTATE	0.581	VCAP	Prostate	0.779	High
VMCUB1_URINARY_TRACT	0.598	VMCUB1	UrinaryTract	1.242	High
VMRCRCW_KIDNEY	0.286	VMRCRCW	Kidney	1.092	Low
VMRCRCZ_KIDNEY	0.590	VMRCRCZ	Kidney	1.135	High
WM115_SKIN	0.334	WM115	Skin	1.197	Low
WM1799_SKIN	0.602	WM1799	Skin	1.073	High
WM2664_SKIN	0.517	WM2664	Skin	1.100	Low
WM793_SKIN	0.567	WM793	Skin	1.403	High
WM88_SKIN	0.570	WM88	Skin	1.055	High
WM983B_SKIN	0.745	WM983B	Skin	1.124	High
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.585	WSUDLCL2	Haematpoetic&Lymphoid	0.911	High
X22RV1_PROSTATE	0.887	X22RV1	Prostate	0.719	High
X2313287_STOMACH	0.452	X2313287	Stomach	0.896	Low
X253J_URINARY_TRACT	0.246	X253J	UrinaryTract	1.144	Low
X253JBV_URINARY_TRACT	0.480	X253JBV	UrinaryTract	1.179	Low
X42MGBA_CENTRAL_NERVOUS_SYSTEM	0.577	X42MGBA	CNS	1.184	High
X5637_URINARY_TRACT	0.395	X5637	UrinaryTract	1.301	Low
X59M_OVARY	0.169	X59M	Ovary	1.192	Low
X639V_URINARY_TRACT	0.655	X639V	UrinaryTract	1.032	High
X647V_URINARY_TRACT	0.409	X647V	UrinaryTract	1.116	Low
X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.697	X697	Haematpoetic&Lymphoid	0.768	High
X769P_KIDNEY	0.596	X769P	Kidney	1.151	High
X786O_KIDNEY	0.711	X786O	Kidney	1.145	High
X8305C_THYROID	0.320	X8305C	Thyroid	1.346	Low
X8505C_THYROID	0.548	X8505C	Thyroid	1.264	High
X8MGBA_CENTRAL_NERVOUS_SYSTEM	0.475	X8MGBA	CNS	1.279	Low
YAPC_PANCREAS	0.499	YAPC	Pancreas	1.167	Low
YD10B_UPPER_AERODIGESTIVE_TRACT	0.390	YD10B	UpperAeroDigestiveTract	1.245	Low
YD15_SALIVARY_GLAND	0.457	YD15	SalivaryGland	1.148	Low
YD38_UPPER_AERODIGESTIVE_TRACT	0.377	YD38	UpperAeroDigestiveTract	1.267	Low
YD8_UPPER_AERODIGESTIVE_TRACT	0.232	YD8	UpperAeroDigestiveTract	1.284	Low
YH13_CENTRAL_NERVOUS_SYSTEM	0.402	YH13	CNS	1.363	Low
YKG1_CENTRAL_NERVOUS_SYSTEM	0.406	YKG1	CNS	1.084	Low
ZR751_BREAST	0.445	ZR751	Breast	0.923	Low
ZR7530_BREAST	0.264	ZR7530	Breast	0.842	Low
